Refid,User,Ris Code,Level,E1_k,nid,risk,risk_mapping,"Should this study be set aside, to extract manually? ",design,design_comment,study_name,E2_k,acause,(outcome_dementia_sub) What subset of dementia is specified by the source?,(outcome_dementia_sub) What subset of dementia is specified by the source?_comment,gbd_outcome_mapping,gbd_outcome_def,exp_def,exp_assess_level,exp_instrument,exp_assess_period,exp_assess_num,exp_method_1,exp_multiple_methods_flag,exp_method_2 -> Physical measurement (human),exp_recall_period,exp_recall_period_value,exp_type,study_outcome_def,outcome_MCI,dementia_subtype,dementia_subtype_comment,outcome_ICD_codes,outcome_ICD_codes_comment,outcome_type,outcome_assess_freq,outcome_assess_num,outcome_assess_1,oucome_assess_2 -> Administrative medical records or disease registry,oucome_assess_2 -> Physician diagnosis,oucome_assess_2 -> Death certificates,oucome_assess_2 -> Biomarker,oucome_assess_2 -> Disease Registry (human),E3_k,bc_age,bc_sex,bc_bmi,bc_edu,bc_inc,bc_activity,bc_smoking,bc_APOE,bc_otherdrug,bc_otherdrug_comment,bc_diet,bc_diet_comment,bc_other,bc_other_comment,bc_hypertension,bc_diabetes,bc_hypercholesterolemia,bc_otherdisease,bc_otherdisease_comment,bc_sick_excl,bc_former_separate,bc_followup_excl,bc_followup_excl_comment,bc_sick_na,custom_sick_quitters -> Lifetime alcohol consumption,E4_k,location_name_national,site_memo,location_subnational_flag,location_id_national,location_name_subnational,location_id_subnational,population,representativeness,custom_rep_pop_desc,population_recruitment,rep_prevalent_disease,adjusted_by_outcome,screening_phase,study_design_questions_k,exp_group_def,unexp_reference_group_def,exp_risk_def,exp_quant_lower,exp_quant_upper,exp_quant_unit,exp_freq_lower,exp_freq_upper,exp_freq_unit,cohort_person_years_exp,cohort_number_events_exp,cohort_sample_size_exp,unexp_risk_def,unexp_quant_lower,unexp_quant_upper,unexp_unit_def,unexp_freq_lower,unexp_freq_upper,cohort_person_years_unexp,"(cohort_events_unexp) Please specify the number of ""events"" (deaths, diagnoses, etc.) that occured in this unexposed/comparison group. ",cohort_sample_size_unexp,cohort_person_years_total,cohort_number_events_total,cohort_sample_size_total,cohort_response_assess,cohort_response_rate,cohort_dropout_assess,cohort_dropout_rate,quant_convert,freq_convert,cc_control_selection,cc_control_def,cc_controls_exp,cc_controls_unexp,cc_case_def,cc_cases_exp,cc_cases_unexp,cc_controls_total,cc_cases_total,specific_data_extraction_form_k,year_start,year_end,Indicate Exposure Group ,age_type,age_start,age_end,age_mean,age_sd,age_issue,sex,percent_male,sex_issue,alcohol_type,effect_size_measure,mean,effect_size_derived,(uncertainty_type_value) How is uncertainty in the effect size reported? ,(uncertainty_type_value) How is uncertainty in the effect size reported? _comment,lower,upper,(uncertainty_describe) Please describe any specifics or issues about the uncertainty value. ,subgroup_analysis,subgroup_analysis_def,effect_size_multi_location,effect_size_multi_location_specify,pooled_cohort,dose_response,adj_model,page_number,table_number,in_supplement,note_sr
15671255,hlawlor,,5,,598588,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Women's Health Initiative Memory Study,neuro_dementia-mild cognitive impairment,neuro_dementia,mild cognitive impairment,,Exact outcome definition,mild cognitive impairment and probable dementia.,"No drinks/day, <1 drink/day, >=1 drink/day",At the individual,Women’s Health Initiative food frequency questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,3,Baseline,incident cognitive decline,Yes,All-Cause Dementia,,1,ICD-10: F03.90,Incidence,Multiple times at Follow Up,7,Physician diagnosis,,,,,,neuro_dementia-mild cognitive impairment|,bc_age,,bc_bmi,bc_edu,bc_inc,,bc_smoking,,bc_otherdrug,"Prior hormone therapy, statin use, aspirin use",,,bc_other,"Number of years since menopause, ethnicity",bc_hypertension,bc_diabetes,,bc_otherdisease,Prior cardiovascular disease,,,,,bc_sick_na,,neuro_dementia-mild cognitive impairment||,United States of America|USA,"Across 39 US academic medical centers, 4,461 community-dwelling women aged 65–79 years were followed an average of 4.2 years with annual Modified Mini-Mental State Examinations and standardized protocols for detecting mild cognitive impairment and probable dementia.",No,102,,,"4,461 community-dwelling women aged 65–79 years",Yes,,clinical_evaluation,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-mild cognitive impairment|||Current drinker, Light","Current drinker, Light",Non drinker,<1 drink/day,0.1,0.9,drinks,,,per day,10500,83,2500,,0,0,drinks,0,0,5649,77,1345,18736.2,174,4461,,,"The numbers of women seen at annual visits 1–6 were 4,282, 4,109, 4,079, 3,683, 1,732, and 84, respectively.",0.4,14,,,,,,,,,,,neuro_dementia-mild cognitive impairment|||,1996,2002,"Current drinker, Light",Categorical,65,79,,,,2,,,Any alcoholic beverages,Odds Ratio (OR),0.69,,"Confidence Interval (specify CI level, 90/95/99/etc.)",95,0.49,0.97,p value = 0.042,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,232,4,"No, it was in the main text",
15671255,hlawlor,,5,,598588,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Women's Health Initiative Memory Study,neuro_dementia-mild cognitive impairment,neuro_dementia,mild cognitive impairment,,Exact outcome definition,mild cognitive impairment and probable dementia.,"No drinks/day, <1 drink/day, >=1 drink/day",At the individual,Women’s Health Initiative food frequency questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,3,Baseline,incident cognitive decline,Yes,All-Cause Dementia,,1,ICD-10: F03.90,Incidence,Multiple times at Follow Up,7,Physician diagnosis,,,,,,neuro_dementia-mild cognitive impairment|,bc_age,,bc_bmi,bc_edu,bc_inc,,bc_smoking,,bc_otherdrug,"Prior hormone therapy, statin use, aspirin use",,,bc_other,"Number of years since menopause, ethnicity",bc_hypertension,bc_diabetes,,bc_otherdisease,Prior cardiovascular disease,,,,,bc_sick_na,,neuro_dementia-mild cognitive impairment||,United States of America|USA,"Across 39 US academic medical centers, 4,461 community-dwelling women aged 65–79 years were followed an average of 4.2 years with annual Modified Mini-Mental State Examinations and standardized protocols for detecting mild cognitive impairment and probable dementia.",No,102,,,"4,461 community-dwelling women aged 65–79 years",Yes,,clinical_evaluation,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-mild cognitive impairment|||Current drinker, Moderate","Current drinker, Moderate",Non drinker,>=1 drink/day,1,,drinks,,,per day,2587.2,14,616,,0,0,drinks,0,0,5649,77,1345,18736.2,174,4461,,,"The numbers of women seen at annual visits 1–6 were 4,282, 4,109, 4,079, 3,683, 1,732, and 84, respectively.",0.4,14,,,,,,,,,,,neuro_dementia-mild cognitive impairment|||,1996,2002,"Current drinker, Moderate",Categorical,65,79,,,,2,,,Any alcoholic beverages,Odds Ratio (OR),0.53,,"Confidence Interval (specify CI level, 90/95/99/etc.)",95,0.28,0.99,p value = 0.042,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,232,4,"No, it was in the main text",
31560382,hlawlor,,5,,598755,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Ginkgo Evaluation of Memory Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,Potential cases were then referred to an expert panel of clinicians who reviewed all the clinical and cognitive data and used a validated adjudication process to determine the presence of all-cause dementia,"occasion. We categorized participants according to their alcohol consumption as follows: none, less than 1.0 drink per week, 1.0 to 7.0 drinks per week, 7.1 to 14.0 drinks per week, and more than 14.0 drinks per week.",At the individual,questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Current,,Baseline,Incident all-cause dementia,No,All-Cause Dementia,,1,ICD-10 F00-F02,Incidence,Multiple times at Follow Up,16,Physician diagnosis,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,bc_edu,,,bc_smoking,,bc_otherdrug,lipid-lowering medication use,,,bc_other,"race/ethnicity, clinic site, social activity, Center for  Epidemiologic Studies Depression Scale score, treatment group assignment, and APOE genotype",,bc_diabetes,,bc_otherdisease,History of CVD,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,United States of America|USA,Participants were recruited from 4 academic medical centers in the United States.,No,102,,,Study participants were aged 72 years or older at baseline and underwent cognitive and functional assessments for incident dementia during a median (interquartile range) follow-up of 6.0 (4.9-6.5) years.,Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation",neuro_dementia-all-cause dementia|||Non drinker,Non drinker,"Current drinker, Light",,0,0,drinks,,,per week,,151,875,,0.1,0.9,drinks/week,,,,50,356,,317,2548,,,,,14,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,2000,2008,Non drinker,Categorical,72,99,,,,3,0.44,,Any alcoholic beverages,Hazard Ratio (HR),1.17,,"Confidence Interval (specify CI level, 90/95/99/etc.)",95,0.84,1.62,,sub-group analysis,Only participants without MCI at baseline,"No, individual location's effect size",,No,Yes,Most adjusted model,6,2,"No, it was in the main text",
31560382,hlawlor,,5,,598755,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Ginkgo Evaluation of Memory Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,Potential cases were then referred to an expert panel of clinicians who reviewed all the clinical and cognitive data and used a validated adjudication process to determine the presence of all-cause dementia,"occasion. We categorized participants according to their alcohol consumption as follows: none, less than 1.0 drink per week, 1.0 to 7.0 drinks per week, 7.1 to 14.0 drinks per week, and more than 14.0 drinks per week.",At the individual,questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Current,,Baseline,Incident all-cause dementia,No,All-Cause Dementia,,1,ICD-10 F00-F02,Incidence,Multiple times at Follow Up,16,Physician diagnosis,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,bc_edu,,,bc_smoking,,bc_otherdrug,lipid-lowering medication use,,,bc_other,"race/ethnicity, clinic site, social activity, Center for  Epidemiologic Studies Depression Scale score, treatment group assignment, and APOE genotype",,bc_diabetes,,bc_otherdisease,History of CVD,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,United States of America|USA,Participants were recruited from 4 academic medical centers in the United States.,No,102,,,Study participants were aged 72 years or older at baseline and underwent cognitive and functional assessments for incident dementia during a median (interquartile range) follow-up of 6.0 (4.9-6.5) years.,Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Light","Current drinker, Light","Current drinker, Light",,1,7,drinks,,,per week,,68,532,,0.1,0.9,drinks/week,,,,50,356,,317,2548,,,,,14,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,2000,2008,"Current drinker, Light",Categorical,72,99,,,,3,0.58,,Any alcoholic beverages,Hazard Ratio (HR),0.88,,"Confidence Interval (specify CI level, 90/95/99/etc.)",95,0.61,1.28,,sub-group analysis,Only participants without MCI at baseline,"No, individual location's effect size",,No,Yes,Most adjusted model,6,2,"No, it was in the main text",
31560382,hlawlor,,5,,598755,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Ginkgo Evaluation of Memory Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,Potential cases were then referred to an expert panel of clinicians who reviewed all the clinical and cognitive data and used a validated adjudication process to determine the presence of all-cause dementia,"occasion. We categorized participants according to their alcohol consumption as follows: none, less than 1.0 drink per week, 1.0 to 7.0 drinks per week, 7.1 to 14.0 drinks per week, and more than 14.0 drinks per week.",At the individual,questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Current,,Baseline,Incident all-cause dementia,No,All-Cause Dementia,,1,ICD-10 F00-F02,Incidence,Multiple times at Follow Up,16,Physician diagnosis,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,bc_edu,,,bc_smoking,,bc_otherdrug,lipid-lowering medication use,,,bc_other,"race/ethnicity, clinic site, social activity, Center for  Epidemiologic Studies Depression Scale score, treatment group assignment, and APOE genotype",,bc_diabetes,,bc_otherdisease,History of CVD,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,United States of America|USA,Participants were recruited from 4 academic medical centers in the United States.,No,102,,,Study participants were aged 72 years or older at baseline and underwent cognitive and functional assessments for incident dementia during a median (interquartile range) follow-up of 6.0 (4.9-6.5) years.,Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Moderate","Current drinker, Moderate","Current drinker, Light",,7.1,14,drinks,,,per week,,22,228,,0.1,0.9,drinks/week,,,,50,356,,317,2548,,,,,14,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,2000,2008,"Current drinker, Moderate",Categorical,72,99,,,,3,0.68,,Any alcoholic beverages,Hazard Ratio (HR),0.63,,"Confidence Interval (specify CI level, 90/95/99/etc.)",95,0.38,1.06,,sub-group analysis,Only participants without MCI at baseline,"No, individual location's effect size",,No,Yes,Most adjusted model,6,2,"No, it was in the main text",
31560382,hlawlor,,5,,598755,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Ginkgo Evaluation of Memory Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,Potential cases were then referred to an expert panel of clinicians who reviewed all the clinical and cognitive data and used a validated adjudication process to determine the presence of all-cause dementia,"occasion. We categorized participants according to their alcohol consumption as follows: none, less than 1.0 drink per week, 1.0 to 7.0 drinks per week, 7.1 to 14.0 drinks per week, and more than 14.0 drinks per week.",At the individual,questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Current,,Baseline,Incident all-cause dementia,No,All-Cause Dementia,,1,ICD-10 F00-F02,Incidence,Multiple times at Follow Up,16,Physician diagnosis,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,bc_edu,,,bc_smoking,,bc_otherdrug,lipid-lowering medication use,,,bc_other,"race/ethnicity, clinic site, social activity, Center for  Epidemiologic Studies Depression Scale score, treatment group assignment, and APOE genotype",,bc_diabetes,,bc_otherdisease,History of CVD,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,United States of America|USA,Participants were recruited from 4 academic medical centers in the United States.,No,102,,,Study participants were aged 72 years or older at baseline and underwent cognitive and functional assessments for incident dementia during a median (interquartile range) follow-up of 6.0 (4.9-6.5) years.,Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Heavy (consumes a lot, consistently)","Current drinker, Heavy (consumes a lot, consistently)","Current drinker, Light",,14.1,,drinks,,,per week,,26,240,,0.1,0.9,drinks/week,,,,50,356,,317,2548,,,,,14,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,2000,2008,"Current drinker, Heavy (consumes a lot, consistently)",Categorical,72,99,,,,3,0.8,,Any alcoholic beverages,Hazard Ratio (HR),0.91,,"Confidence Interval (specify CI level, 90/95/99/etc.)",95,0.56,1.48,,sub-group analysis,Only participants without MCI at baseline,"No, individual location's effect size",,No,Yes,Most adjusted model,6,2,"No, it was in the main text",
36840546,hlawlor,,5,,573880,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Japan Public Health Center-based Prospective Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,"The assessment requires the professional opinion of a primary care physician, and includes the dementia rating scale, a grade of independence of daily living for individuals with dementia (grade 0, I, IIa, IIb, IIIa, IIIb, IV, or M, Supplementary Table S1). The municipal certification review board, which includes medical doctors and nurses, determines whether the applicant is eligible for certification and certifies the level of functional disability as either requiring support (Support Level 1 or 2) or care (Care Level 1 through 5, ranging from light to severe). Here, we regarded a “dementia rating scale of IIa or above” and “certification at Care Level 1 or severe” as cases, called “disabling dementia”.","Regular drinkers were further categorized as consumption of <75, 75 to 150, 150 to 300, 300 to 450, ≥450 g ethanol/week",At the individual,Questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,12,Baseline,Incident disabling dementia,No,All-Cause Dementia,,1,ICD-10: F00-F02,Incidence,Once,,Administrative medical records or disease registry,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,,,bc_activity,bc_smoking,,,,,,bc_other,"birth cohort, living alone, employment status",bc_hypertension,bc_diabetes,,,,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,Japan|JPN,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey.",No,67,,,"The JPHC Study was established in 1990 for Cohort I, with subjects aged 40–59 years, and in 1993 for Cohort II, with subjects aged 40–  69 years.",Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation",neuro_dementia-all-cause dementia|||Non drinker,Non drinker,"Current drinker, Light",,0,0,grams,,,per week,,2943,22624,,1,74,grams/week,,,,231,3017,,4802,42870,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey",0.81,,,,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,1990,2016,Non drinker,Categorical,40,69,,,,3,0.203,,Any alcoholic beverages,Hazard Ratio (HR),1.29,,"Confidence Interval (specify CI level, 90/95/99/etc.)",,1.12,1.47,,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,7,2,"No, it was in the main text",
36840546,hlawlor,,5,,573880,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Japan Public Health Center-based Prospective Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,"The assessment requires the professional opinion of a primary care physician, and includes the dementia rating scale, a grade of independence of daily living for individuals with dementia (grade 0, I, IIa, IIb, IIIa, IIIb, IV, or M, Supplementary Table S1). The municipal certification review board, which includes medical doctors and nurses, determines whether the applicant is eligible for certification and certifies the level of functional disability as either requiring support (Support Level 1 or 2) or care (Care Level 1 through 5, ranging from light to severe). Here, we regarded a “dementia rating scale of IIa or above” and “certification at Care Level 1 or severe” as cases, called “disabling dementia”.","Regular drinkers were further categorized as consumption of <75, 75 to 150, 150 to 300, 300 to 450, ≥450 g ethanol/week",At the individual,Questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,12,Baseline,Incident disabling dementia,No,All-Cause Dementia,,1,ICD-10: F00-F02,Incidence,Once,,Administrative medical records or disease registry,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,,,bc_activity,bc_smoking,,,,,,bc_other,"birth cohort, living alone, employment status",bc_hypertension,bc_diabetes,,,,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,Japan|JPN,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey.",No,67,,,"The JPHC Study was established in 1990 for Cohort I, with subjects aged 40–59 years, and in 1993 for Cohort II, with subjects aged 40–  69 years.",Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Moderate","Current drinker, Moderate","Current drinker, Light",,75,150,grams,,,per week,,232,2539,,1,74,grams/week,,,,231,3017,,4802,42870,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey",0.81,,,,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,1990,2016,"Current drinker, Moderate",Categorical,40,69,,,,3,0.728,,Any alcoholic beverages,Hazard Ratio (HR),1.15,,"Confidence Interval (specify CI level, 90/95/99/etc.)",,0.96,1.39,,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,7,2,"No, it was in the main text",
36840546,hlawlor,,5,,573880,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Japan Public Health Center-based Prospective Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,"The assessment requires the professional opinion of a primary care physician, and includes the dementia rating scale, a grade of independence of daily living for individuals with dementia (grade 0, I, IIa, IIb, IIIa, IIIb, IV, or M, Supplementary Table S1). The municipal certification review board, which includes medical doctors and nurses, determines whether the applicant is eligible for certification and certifies the level of functional disability as either requiring support (Support Level 1 or 2) or care (Care Level 1 through 5, ranging from light to severe). Here, we regarded a “dementia rating scale of IIa or above” and “certification at Care Level 1 or severe” as cases, called “disabling dementia”.","Regular drinkers were further categorized as consumption of <75, 75 to 150, 150 to 300, 300 to 450, ≥450 g ethanol/week",At the individual,Questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,12,Baseline,Incident disabling dementia,No,All-Cause Dementia,,1,ICD-10: F00-F02,Incidence,Once,,Administrative medical records or disease registry,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,,,bc_activity,bc_smoking,,,,,,bc_other,"birth cohort, living alone, employment status",bc_hypertension,bc_diabetes,,,,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,Japan|JPN,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey.",No,67,,,"The JPHC Study was established in 1990 for Cohort I, with subjects aged 40–59 years, and in 1993 for Cohort II, with subjects aged 40–  69 years.",Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Moderate","Current drinker, Moderate","Current drinker, Light",,151,300,grams,,,per week,,338,3998,,1,74,grams/week,,,,231,3017,,4802,42870,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey",0.81,,,,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,1990,2016,"Current drinker, Moderate",Categorical,40,69,,,,3,0.891,,Any alcoholic beverages,Hazard Ratio (HR),1.01,,"Confidence Interval (specify CI level, 90/95/99/etc.)",,0.85,1.2,,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,7,2,"No, it was in the main text",
36840546,hlawlor,,5,,573880,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Japan Public Health Center-based Prospective Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,"The assessment requires the professional opinion of a primary care physician, and includes the dementia rating scale, a grade of independence of daily living for individuals with dementia (grade 0, I, IIa, IIb, IIIa, IIIb, IV, or M, Supplementary Table S1). The municipal certification review board, which includes medical doctors and nurses, determines whether the applicant is eligible for certification and certifies the level of functional disability as either requiring support (Support Level 1 or 2) or care (Care Level 1 through 5, ranging from light to severe). Here, we regarded a “dementia rating scale of IIa or above” and “certification at Care Level 1 or severe” as cases, called “disabling dementia”.","Regular drinkers were further categorized as consumption of <75, 75 to 150, 150 to 300, 300 to 450, ≥450 g ethanol/week",At the individual,Questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,12,Baseline,Incident disabling dementia,No,All-Cause Dementia,,1,ICD-10: F00-F02,Incidence,Once,,Administrative medical records or disease registry,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,,,bc_activity,bc_smoking,,,,,,bc_other,"birth cohort, living alone, employment status",bc_hypertension,bc_diabetes,,,,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,Japan|JPN,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey.",No,67,,,"The JPHC Study was established in 1990 for Cohort I, with subjects aged 40–59 years, and in 1993 for Cohort II, with subjects aged 40–  69 years.",Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Heavy (consumes a lot, consistently)","Current drinker, Heavy (consumes a lot, consistently)","Current drinker, Light",300-450,301,350,grams,,,per week,,303,3328,,1,74,grams/week,,,,231,3017,,4802,42870,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey",0.81,,,,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,1990,2016,"Current drinker, Heavy (consumes a lot, consistently)",Categorical,40,69,,,,3,0.956,,Any alcoholic beverages,Hazard Ratio (HR),1.13,,"Confidence Interval (specify CI level, 90/95/99/etc.)",,0.95,1.35,,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,7,2,"No, it was in the main text",
36840546,hlawlor,,5,,573880,"Alcohol use	|	102",exact definition,No,Prospecitve cohort,,Japan Public Health Center-based Prospective Study,neuro_dementia-all-cause dementia,neuro_dementia,all-cause dementia,,Exact outcome definition,"The assessment requires the professional opinion of a primary care physician, and includes the dementia rating scale, a grade of independence of daily living for individuals with dementia (grade 0, I, IIa, IIb, IIIa, IIIb, IV, or M, Supplementary Table S1). The municipal certification review board, which includes medical doctors and nurses, determines whether the applicant is eligible for certification and certifies the level of functional disability as either requiring support (Support Level 1 or 2) or care (Care Level 1 through 5, ranging from light to severe). Here, we regarded a “dementia rating scale of IIa or above” and “certification at Care Level 1 or severe” as cases, called “disabling dementia”.","Regular drinkers were further categorized as consumption of <75, 75 to 150, 150 to 300, 300 to 450, ≥450 g ethanol/week",At the individual,Questionnaire,Only at baseline,,Self-report (human/environment),"No, only one method",,Period: months,12,Baseline,Incident disabling dementia,No,All-Cause Dementia,,1,ICD-10: F00-F02,Incidence,Once,,Administrative medical records or disease registry,,,,,,neuro_dementia-all-cause dementia|,bc_age,bc_sex,bc_bmi,,,bc_activity,bc_smoking,,,,,,bc_other,"birth cohort, living alone, employment status",bc_hypertension,bc_diabetes,,,,,,,,bc_sick_na,,neuro_dementia-all-cause dementia||,Japan|JPN,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey.",No,67,,,"The JPHC Study was established in 1990 for Cohort I, with subjects aged 40–59 years, and in 1993 for Cohort II, with subjects aged 40–  69 years.",Yes,,clinical_records,"No, the study population is not a prevalent-disease population",,"No, all subjects received full evaluation","neuro_dementia-all-cause dementia|||Current drinker, Heavy (consumes a lot, consistently)","Current drinker, Heavy (consumes a lot, consistently)","Current drinker, Light",>=450 g/week,450,,grams,,,per week,,273,3073,,1,74,grams/week,,,,231,3017,,4802,42870,"The questionnaire on lifestyle habits and health conditions  was distributed mostly by hand, and had a response rate of 81% at the baseline questionnaire survey",0.81,,,,7,,,,,,,,,,neuro_dementia-all-cause dementia|||,1990,2016,"Current drinker, Heavy (consumes a lot, consistently)",Categorical,40,69,,,,3,0.964,,Any alcoholic beverages,Hazard Ratio (HR),1.34,,"Confidence Interval (specify CI level, 90/95/99/etc.)",,1.12,1.6,,main analysis,,"No, individual location's effect size",,No,Yes,Most adjusted model,7,2,"No, it was in the main text",
