seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_bmi
1,102,drugs_alcohol,493,cvd_ihd,309676,9023,0,continuous,gday,-0.010050336,0.134969149,0,11.20215686,11.20215686,11.20215686,1,1,1
2,102,drugs_alcohol,493,cvd_ihd,129944,9023,0,continuous,gday,-0.083381609,0.04399726,0,0,60,90,1,1,1
3,102,drugs_alcohol,493,cvd_ihd,129944,9023,0,continuous,gday,-0.162518929,0.068234532,0,0,50,50,1,1,1
4,102,drugs_alcohol,493,cvd_ihd,309675,9023,0,continuous,gday,-0.510825624,0.307135919,0,0,24,36,0,1,1
5,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-0.693147181,0.383693213,0,0,13.33590103,23.3378268,0,1,1
6,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.356674944,0.189517523,1.714285714,10.28571428,35.99999999,46.28571428,0,1,1
7,102,drugs_alcohol,493,cvd_ihd,309675,9023,0,continuous,gday,-0.400477567,0.260370089,0,0,12,24,0,1,1
8,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.488580015,0.169075531,0,0,1.714285714,10.28571428,0,1,1
9,102,drugs_alcohol,493,cvd_ihd,309675,9023,0,continuous,gday,-0.653926467,0.299999733,0,0,36,54,0,1,1
10,102,drugs_alcohol,493,cvd_ihd,298268,9023,0,continuous,gday,-0.510825624,0.173839577,0,0,1.428571429,10,1,1,1
11,102,drugs_alcohol,493,cvd_ihd,298268,9023,0,continuous,gday,-0.446287103,0.165483525,0,0,11.42857143,30.00000001,1,1,1
12,102,drugs_alcohol,493,cvd_ihd,298268,9023,0,continuous,gday,-0.673344553,0.211823546,0,0,31.42857144,50.00000002,1,1,1
13,102,drugs_alcohol,493,cvd_ihd,298268,9023,0,continuous,gday,-0.116533816,0.219269876,0,0,51.42857144,70.00000002,1,1,1
14,102,drugs_alcohol,493,cvd_ihd,298268,9023,0,continuous,gday,-0.261364764,0.216875237,0,0,71.42857145,107.1428572,1,1,1
15,102,drugs_alcohol,493,cvd_ihd,298269,9023,0,continuous,gday,-0.261364764,0.118325794,0,0,0,14,1,1,1
16,102,drugs_alcohol,493,cvd_ihd,298269,9023,0,continuous,gday,-0.693147181,0.381320154,0,0,14,21,1,1,1
17,102,drugs_alcohol,493,cvd_ihd,298270,9023,0,continuous,gday,0.058268908,0.357231152,0,0,0,1.43,1,1,1
18,102,drugs_alcohol,493,cvd_ihd,298270,9023,0,continuous,gday,-0.478035801,0.341399271,0,0,1.43,20,1,1,1
19,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,-0.116533816,0.076679969,0,0,1.142857143,8.000000001,0,1,1
20,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.46203546,0.235052508,1.714285714,10.28571428,47.99999999,71.99999999,0,1,1
21,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,-0.510825624,0.49640565,0,0,1.428571429,1.428571429,0,1,1
22,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.076961041,0.207268862,0,0,1.714285714,10.28571428,0,1,1
23,102,drugs_alcohol,493,cvd_ihd,309672,9023,0,continuous,gday,0.09531018,0.344185534,1.15090653,41.96972479,41.96972479,62.95458719,1,1,1
24,102,drugs_alcohol,493,cvd_ihd,309672,9023,0,continuous,gday,-0.336472237,0.642073292,0,1.112542979,1.15090653,41.96972479,1,1,1
25,102,drugs_alcohol,493,cvd_ihd,309674,9023,0,continuous,gday,-0.346724613,0.077240132,0,0,1.142857143,8.000000001,1,1,1
26,102,drugs_alcohol,493,cvd_ihd,122170,9023,0,continuous,gday,-0.186329578,0.100921636,0,1.428571429,1.428571429,20.00000001,1,1,1
27,102,drugs_alcohol,493,cvd_ihd,122170,9023,0,continuous,gday,-0.105360516,0.114980025,0,1.428571429,20.00000001,30.00000001,1,1,1
28,102,drugs_alcohol,493,cvd_ihd,122170,9023,0,continuous,gday,-0.274436846,0.09659537,0,1.428571429,1.428571429,20.00000001,1,1,1
29,102,drugs_alcohol,493,cvd_ihd,122170,9023,0,continuous,gday,-0.287682072,0.225099281,0,1.428571429,20.00000001,30.00000001,1,1,1
30,102,drugs_alcohol,493,cvd_ihd,432641,9023,0,continuous,gday,-0.105360516,0.410570896,0,0,0,65,0,1,1
31,102,drugs_alcohol,493,cvd_ihd,432641,9023,0,continuous,gday,-0.105360516,0.457081497,0,0,0,52,0,1,1
32,102,drugs_alcohol,493,cvd_ihd,309690,9023,0,continuous,gday,-0.186329578,0.135832857,0,0,0,12,1,1,1
33,102,drugs_alcohol,493,cvd_ihd,309676,9023,0,continuous,gday,0.131028262,0.156277632,0,11.20215686,22.40431372,33.60647058,1,1,1
34,102,drugs_alcohol,493,cvd_ihd,309676,9023,0,continuous,gday,0.425267735,0.283140777,0,11.20215686,44.80862744,56.0107843,1,1,1
35,102,drugs_alcohol,493,cvd_ihd,129944,9023,0,continuous,gday,-0.235722334,0.022476344,0,0,10,10,1,1,1
36,102,drugs_alcohol,493,cvd_ihd,129944,9023,0,continuous,gday,-0.223143551,0.028550489,0,0,20,20,1,1,1
37,102,drugs_alcohol,493,cvd_ihd,129944,9023,0,continuous,gday,-0.186329578,0.03694667,0,0,30,30,1,1,1
38,102,drugs_alcohol,493,cvd_ihd,129944,9023,0,continuous,gday,-0.301105093,0.047758046,0,0,40,40,1,1,1
39,102,drugs_alcohol,493,cvd_ihd,298281,9023,0,continuous,gday,-0.274436846,0.040363267,0,0,15,25,1,1,1
40,102,drugs_alcohol,493,cvd_ihd,298281,9023,0,continuous,gday,-0.562118918,0.079814368,0,0,25,35,1,1,1
41,102,drugs_alcohol,493,cvd_ihd,298281,9023,0,continuous,gday,-0.314710745,0.090569963,0,0,35,45,1,1,1
42,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-1.203972804,0.280258237,0,0,26.67180206,63.34552988,0,1,1
43,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-0.693147181,0.410570896,0,0,66.67950514,100.0192577,0,1,1
44,102,drugs_alcohol,493,cvd_ihd,298270,9023,0,continuous,gday,0.104360015,0.315911794,0,0,20,40,1,1,1
45,102,drugs_alcohol,493,cvd_ihd,298270,9023,0,continuous,gday,-1.660731207,0.713592177,0,0,40,60,1,1,1
46,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,0,0.457081497,0,0,13.33590103,30.00577731,0,1,1
47,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,-0.916290732,0.383693213,0,0,2.857142858,12.85714286,0,1,1
48,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,-0.223143551,0.508273001,0,0,14.28571429,21.42857144,0,1,1
49,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,0.530628251,0.463084175,0,0,1.428571429,1.428571429,0,1,1
50,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,0.470003629,0.337182612,0,0,2.857142858,20.00000001,0,1,1
51,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,-0.356674944,0.470874156,0,0,21.42857144,32.14285715,0,1,1
52,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,-0.356674944,0.300677295,0,0,0.02739726,0.04109589,0,1,1
53,102,drugs_alcohol,493,cvd_ihd,298271,9023,0,continuous,gday,0.405465108,0.31030493,0,0,0.02739726,0.04109589,0,1,1
54,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,0.254642218,0.09693521,0,0,17.14285715,24,1,1,1
55,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,0.086177696,0.102477745,0,0,25.14285715,38.85714286,1,1,1
56,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,0.2390169,0.111638321,0,0,40.00000001,60.00000001,1,1,1
57,102,drugs_alcohol,493,cvd_ihd,309694,9023,0,continuous,gday,-0.673344553,0.361187031,0,0,0,4.571428572,0,1,1
58,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,-0.162518929,0.077719492,0,0,9.142857144,16,0,1,1
59,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,0.019802627,0.094268648,0,0,17.14285715,24,0,1,1
60,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,-0.198450939,0.104700994,0,0,25.14285715,38.85714286,0,1,1
61,102,drugs_alcohol,493,cvd_ihd,309688,9023,0,continuous,gday,-0.040821995,0.109893601,0,0,40.00000001,60.00000001,0,1,1
62,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,1.861904762,0,1,1
63,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.994252273,1.018541048,0,0,0,1.861904762,0,1,1
64,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,0.048790164,0.207678518,0,0,0.142857143,10.00000001,0,1,1
65,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.247647683,0,0,10.00000001,20.00000002,0,1,1
66,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.296722145,0,0,20.00000002,30.00000003,0,1,1
67,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.371063681,0.275970707,0,0,30.00000003,45.00000005,0,1,1
68,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.446287103,0.289535697,0,0,0.142857143,10.00000001,0,1,1
69,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.597837001,0.36519157,0,0,10.00000001,15.00000002,0,1,1
70,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.452793967,0,0,0.142857143,0.214285715,0,1,1
71,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,0.142857143,0,1,1
72,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.235722334,0.233747636,0,0,0,1.861904762,0,1,1
73,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,1.861904762,0,1,1
74,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.994252273,1.018541048,0,0,0,1.861904762,0,1,1
75,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,0.048790164,0.207678518,0,0,0.142857143,10.00000001,0,1,1
76,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.247647683,0,0,10.00000001,20.00000002,0,1,1
77,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.210721031,0.139207768,0,0.32876712,10,10,1,1,1
78,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-0.020202707,0.250211544,0,0,3.333975257,3.333975257,0,1,1
79,102,drugs_alcohol,493,cvd_ihd,309678,9023,0,continuous,gday,-1.203972804,0.530469781,0,0,6.667950514,10.00192577,0,1,1
80,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.287682072,0.150451231,0,0.32876712,10,10,1,1,1
81,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.235722334,0.21119382,0,0.32876712,20,20,1,1,1
82,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,0.21511138,0.216147413,0,0.32876712,30,45,1,1,1
83,102,drugs_alcohol,493,cvd_ihd,298262,9023,0,continuous,gday,-0.048790164,0.140930433,0,0,0,0.32876712,1,1,1
84,102,drugs_alcohol,493,cvd_ihd,309692,9023,0,continuous,gday,-0.287682072,0.143397683,0,1.571428571,11,20.42857142,0,1,1
85,102,drugs_alcohol,493,cvd_ihd,309692,9023,0,continuous,gday,-0.287682072,0.181591662,0,1.571428571,21.99999999,42.42857142,0,1,1
86,102,drugs_alcohol,493,cvd_ihd,309694,9023,0,continuous,gday,-0.562118918,0.285360448,0,0,0,4.571428572,0,1,1
87,102,drugs_alcohol,493,cvd_ihd,309694,9023,0,continuous,gday,-0.562118918,0.290672011,0,0,5.714285715,16,0,1,1
88,102,drugs_alcohol,493,cvd_ihd,298283,9023,0,continuous,gday,-0.356674944,0.201137082,0,0,0,42.61896,1,1,1
89,102,drugs_alcohol,493,cvd_ihd,298283,9023,0,continuous,gday,-0.356674944,0.258061457,0,0,42.61896,63.92844,1,1,1
90,102,drugs_alcohol,493,cvd_ihd,309694,9023,0,continuous,gday,0.207014169,0.413389732,0,0,64.00000001,96.00000001,0,1,1
91,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,0,0.25651068,0,1.285714286,1.285714286,19.28571429,1,1,1
92,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,-0.328504067,0.273959101,0,1.285714286,20.57142858,54.00000001,1,1,1
93,102,drugs_alcohol,493,cvd_ihd,298266,9023,0,continuous,gday,-0.186329578,0.344798164,0,1.285714286,54.00000001,81.00000002,1,1,1
94,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.247647683,0,0,10.00000001,20.00000002,0,1,1
95,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.210721031,0.296722145,0,0,20.00000002,30.00000003,0,1,1
96,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.371063681,0.275970707,0,0,30.00000003,45.00000005,0,1,1
97,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.446287103,0.289535697,0,0,0.142857143,10.00000001,0,1,1
98,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.597837001,0.36519157,0,0,10.00000001,15.00000002,0,1,1
99,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.452793967,0,0,0.142857143,0.214285715,0,1,1
100,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,0.142857143,0,1,1
101,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.235722334,0.233747636,0,0,0,1.861904762,0,1,1
102,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.415515444,0.144893887,1.714285714,10.28571428,47.99999999,58.28571428,0,1,1
103,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.430782916,0.108203378,1.714285714,10.28571428,59.99999999,89.99999999,0,1,1
104,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.186329578,0.098383286,1.714285714,10.28571428,12,22.28571428,0,1,1
105,102,drugs_alcohol,493,cvd_ihd,298267,9023,0,continuous,gday,-0.328504067,0.142095665,1.714285714,10.28571428,24,34.28571428,0,1,1
106,102,drugs_alcohol,493,cvd_ihd,309708,9023,0,continuous,gday,-0.040821995,0.131687876,0,0,0.021623014,1.29738084,0,1,1
107,102,drugs_alcohol,493,cvd_ihd,309708,9023,0,continuous,gday,-0.287682072,0.140833822,0,0,1.319003854,4.54083294,0,1,1
108,102,drugs_alcohol,493,cvd_ihd,309708,9023,0,continuous,gday,-0.127833372,0.143861084,0,0,4.562455954,11.67642756,0,1,1
109,102,drugs_alcohol,493,cvd_ihd,309607,9023,0,continuous,gday,-0.328504067,0.185599135,0,0,12,36,0,1,1
110,102,drugs_alcohol,493,cvd_ihd,309607,9023,0,continuous,gday,0.832909123,0.289885872,0,0,36,54,0,1,1
111,102,drugs_alcohol,493,cvd_ihd,309708,9023,0,continuous,gday,-0.314710745,0.216147413,0,0,0.237853154,0.64869042,0,1,1
112,102,drugs_alcohol,493,cvd_ihd,309708,9023,0,continuous,gday,-0.287682072,0.217630569,0,0,0.670313434,2.59476168,0,1,1
113,102,drugs_alcohol,493,cvd_ihd,309708,9023,0,continuous,gday,-0.235722334,0.254166694,0,0,2.59476168,3.89214252,0,1,1
114,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,-0.544727175,0.351437831,0,0,0,5.71428572,1,1,1
115,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,-0.274436846,0.233747636,0,0,5.71428572,11.2857143,1,1,1
116,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,-0.15082289,0.230949413,0,0,11.42857144,17.00000002,1,1,1
117,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,0.122217633,0.272408324,0,0,17.14285716,22.71428574,1,1,1
118,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,0,0.198394023,0,0,22.85714288,34.28571432,1,1,1
119,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,0.122217633,0.1640655,0,11.42857144,11.42857144,17.14285716,1,1,1
120,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,0.157003749,0.190783694,0,11.42857144,17.14285716,25.71428574,1,1,1
121,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,0.2390169,0.229299916,0,11.42857144,22.85714288,34.28571432,1,1,1
122,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,-0.488580015,0.173503013,0,0,0,0,1,1,1
123,102,drugs_alcohol,493,cvd_ihd,309709,9023,0,continuous,gday,-0.593326845,0.181796167,0,0,0,11.42857144,1,1,1
124,102,drugs_alcohol,493,cvd_ihd,309710,9023,0,continuous,gday,-0.301105093,0.252328586,0,0,0,14.43181709,0,1,1
125,102,drugs_alcohol,493,cvd_ihd,309710,9023,0,continuous,gday,-0.430782916,0.259839179,0,0,14.43181709,29.87837132,0,1,1
126,102,drugs_alcohol,493,cvd_ihd,309710,9023,0,continuous,gday,-0.733969175,0.270980777,0,0,29.87837132,49.72211981,0,1,1
127,102,drugs_alcohol,493,cvd_ihd,309710,9023,0,continuous,gday,-0.994252273,0.272408324,0,0,49.72211981,74.58317972,0,1,1
128,102,drugs_alcohol,493,cvd_ihd,309711,9023,0,continuous,gday,-0.186329578,0.369111985,0,0,1.428571429,5.714285716,0,1,1
129,102,drugs_alcohol,493,cvd_ihd,309711,9023,0,continuous,gday,-0.776528789,0.410570896,0,0,7.142857145,20.00000001,0,1,1
130,102,drugs_alcohol,493,cvd_ihd,309711,9023,0,continuous,gday,-1.171182982,0.530469781,0,0,21.42857144,84.28571431,0,1,1
131,102,drugs_alcohol,493,cvd_ihd,309716,9023,0,continuous,gday,-0.116533816,0.250211544,0,0,1,21,1,1,1
132,102,drugs_alcohol,493,cvd_ihd,309716,9023,0,continuous,gday,-0.430782916,0.234989011,0,0,22,32,1,1,1
133,102,drugs_alcohol,493,cvd_ihd,309716,9023,0,continuous,gday,-0.356674944,0.202613086,0,0,33,54,1,1,1
134,102,drugs_alcohol,493,cvd_ihd,309716,9023,0,continuous,gday,-0.415515444,0.260370089,0,0,55,76,1,1,1
135,102,drugs_alcohol,493,cvd_ihd,309716,9023,0,continuous,gday,-0.494296322,0.206177681,0,0,77,128,1,1,1
136,102,drugs_alcohol,493,cvd_ihd,309716,9023,0,continuous,gday,-0.430782916,0.289289341,0,0,128,192,1,1,1
137,102,drugs_alcohol,493,cvd_ihd,309717,9023,0,continuous,gday,-0.010050336,0.149562254,0,0,0.1,5,1,1,1
138,102,drugs_alcohol,493,cvd_ihd,309717,9023,0,continuous,gday,-0.301105093,0.140142675,0,0,5.1,30,1,1,1
139,102,drugs_alcohol,493,cvd_ihd,309717,9023,0,continuous,gday,-0.634878272,0.207678518,0,0,30.1,45.15,1,1,1
140,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,0.039220713,0.270308707,0,0,0.01,2.49,1,1,1
141,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,-0.116533816,0.260239968,0,0,2.5,28,1,1,1
142,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,-0.616186139,0.457081497,0,0,28,56,1,1,1
143,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,0.21511138,0.387573167,0,0,56,84,1,1,1
144,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,0.067658648,0.218737304,0,0,0.01,2.49,1,1,1
145,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,-0.198450939,0.337991177,0,0,2.5,14,1,1,1
146,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,-0.248461359,0.394484637,0,0,14,21,1,1,1
147,102,drugs_alcohol,493,cvd_ihd,309718,9023,0,continuous,gday,-0.094310679,0.230204495,0,0,0.01,2.49,1,1,1
148,102,drugs_alcohol,493,cvd_ihd,309690,9023,0,continuous,gday,-0.400477567,0.216974325,0,0,12,18,1,1,1
149,102,drugs_alcohol,493,cvd_ihd,309690,9023,0,continuous,gday,-0.186329578,0.135832857,0,0,0,12,1,1,1
150,102,drugs_alcohol,493,cvd_ihd,309690,9023,0,continuous,gday,-0.400477567,0.216974325,0,0,12,18,1,1,1
151,102,drugs_alcohol,493,cvd_ihd,309691,9023,0,continuous,gday,0.009950331,0.146566693,0,1.428571429,1.428571429,10,0,1,1
152,102,drugs_alcohol,493,cvd_ihd,309691,9023,0,continuous,gday,-0.446287103,0.171216396,0,1.428571429,10,15,0,1,1
153,102,drugs_alcohol,493,cvd_ihd,298281,9023,0,continuous,gday,-0.210721031,0.028199458,0,0,5,15,1,1,1
