seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
1,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.867100487683383,0.379392928497411,0,13,13,39,0,0
2,102,drugs_alcohol,411,neo_esophageal,296187,9023,0,continuous,gday,-0.3147107448397,0.397601556347095,0,0,1,14,0,0
3,102,drugs_alcohol,411,neo_esophageal,298513,9023,0,continuous,gday,-0.186329578191493,0.358270853498073,0,0,60,90,0,0
4,102,drugs_alcohol,411,neo_esophageal,298518,9023,0,continuous,gday,0.148420005118273,0.389915522933784,0,0,1,24,0,0
5,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.641853886172395,0.245257950804751,0,13,0,0,0,0
6,102,drugs_alcohol,411,neo_esophageal,298524,9023,0,continuous,gday,0.593326845277734,0.410570896029107,0,0,3.14285714285714,27.9714285714286,0,0
7,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,-0.7339691750802,0.422438246956376,0,13,13,39,0,0
8,102,drugs_alcohol,411,neo_esophageal,298524,9023,0,continuous,gday,2.73111547403321,0.58802455712719,0,0,56.5714285714286,84.8571428571429,0,0
9,102,drugs_alcohol,411,neo_esophageal,298515,9023,0,continuous,gday,0.350656871613169,0.289535697152802,0,0,1,20,0,0
10,102,drugs_alcohol,411,neo_esophageal,298508,9023,0,continuous,gday,0.46373401623214,0.0798703540758034,0,0,56.3571428571429,84.5357142857143,0,0
11,102,drugs_alcohol,411,neo_esophageal,296144,9023,0,continuous,gday,1.16315080980568,0.53335232064637,0,0,22.8,34.2,0,0
12,102,drugs_alcohol,411,neo_esophageal,296141,9023,0,continuous,gday,0.285178942233662,0.34787037866585,0,0,0.789,41.817,0,0
13,102,drugs_alcohol,411,neo_esophageal,298523,9023,0,continuous,gday,-0.0943106794712413,0.230204494824869,0,0,2,14,0,1
14,102,drugs_alcohol,411,neo_esophageal,298518,9023,0,continuous,gday,1.06125650212434,0.411754666324133,0,0,25,74,0,0
15,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.2390169004705,0.275619890200235,0,13,0,0,0,0
16,102,drugs_alcohol,411,neo_esophageal,309845,9023,0,continuous,gday,1.66770682055808,0.238344193208376,0,38.661,39.45,78.111,0,0
17,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,-0.198450938723838,0.342789476199259,0,13,40.3,60.45,0,0
18,102,drugs_alcohol,411,neo_esophageal,298515,9023,0,continuous,gday,0.512823626428664,0.327733308240299,0,0,20,39.9,0,0
19,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.122217632724249,0.445041780074434,0,13,13,39,0,0
20,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.215111379616945,0.277885177552499,0,13,13,39,0,0
21,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,1.33500106673234,0.119898885011667,0,0,50,99,0,0
22,102,drugs_alcohol,411,neo_esophageal,296187,9023,0,continuous,gday,0.22314355131421,0.32478840199385,0,0,28,56,0,0
23,102,drugs_alcohol,411,neo_esophageal,298524,9023,0,continuous,gday,1.3787660946991,0.531832751553656,0,0,28.2857142857143,56.2571428571429,0,0
24,102,drugs_alcohol,411,neo_esophageal,309835,9023,0,continuous,gday,-0.356674943938732,0.258061457060837,0,0,24,60,0,0
25,102,drugs_alcohol,411,neo_esophageal,309832,9023,0,continuous,gday,2.02814824729229,0.164006136665325,10,20,80,110,0,0
26,102,drugs_alcohol,411,neo_esophageal,298521,9023,0,continuous,gday,-0.510825623765991,0.611707977754686,0,0,1,10,0,0
27,102,drugs_alcohol,411,neo_esophageal,309837,9023,0,continuous,gday,0.69329716931107,0.2184111667587,0,0,0,0,0,1
28,102,drugs_alcohol,411,neo_esophageal,309849,9023,0,continuous,gday,1.96290772542388,0.896080852907236,0,0,42,84,0,1
29,102,drugs_alcohol,411,neo_esophageal,296141,9023,0,continuous,gday,1.53255686809814,0.360545319715301,0,0,63.909,95.8635,0,0
30,102,drugs_alcohol,411,neo_esophageal,298512,9023,0,continuous,gday,0.494696241836107,0.271243092403776,0,0,0.142857142857143,21.2857142857143,0,0
31,102,drugs_alcohol,411,neo_esophageal,298513,9023,0,continuous,gday,-0.400477566597125,0.302263426773601,0,0,30,59.9857142857143,0,0
32,102,drugs_alcohol,411,neo_esophageal,309835,9023,0,continuous,gday,-0.105360515657826,0.26265801458703,0,0,62,93,0,0
33,102,drugs_alcohol,411,neo_esophageal,298523,9023,0,continuous,gday,0.385262400790645,0.216147413364083,0,0,16,24,0,1
34,102,drugs_alcohol,411,neo_esophageal,296171,9023,0,continuous,gday,1.97408102602201,0.278225540566054,0,0,31.995,47.9925,0,0
35,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,3.29212628660779,0.416503769030196,0,14,170,255,0,0
36,102,drugs_alcohol,411,neo_esophageal,309828,9023,0,continuous,gday,2.8384934971275,0.473344849138946,0,0,28.2857142857143,56.2571428571429,0,1
37,102,drugs_alcohol,411,neo_esophageal,298510,9023,0,continuous,gday,0.0392207131532813,0.336551951744115,0,0,30,45,0,0
38,102,drugs_alcohol,411,neo_esophageal,309843,9023,0,continuous,gday,0.832909122935104,0.305166009753068,0,1,38,57,0,0
39,102,drugs_alcohol,411,neo_esophageal,164542,9023,0,continuous,gday,0.56531380905006,0.211710744304932,0,15.8,276.5,414.75,0,0
40,102,drugs_alcohol,411,neo_esophageal,298510,9023,0,continuous,gday,0.746687947487975,0.342789476199259,0,0,15,29.9,0,0
41,102,drugs_alcohol,411,neo_esophageal,298510,9023,0,continuous,gday,-0.0943106794712413,0.291670454721812,0,0,5,14.9,0,0
42,102,drugs_alcohol,411,neo_esophageal,298513,9023,0,continuous,gday,-0.210721031315653,0.249572990508573,0,0,1.42857142857143,9.98571428571429,0,0
43,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,0.78845736036427,0.0800146833813882,0,0,1,24,0,0
44,102,drugs_alcohol,411,neo_esophageal,309832,9023,0,continuous,gday,2.51365606307399,0.198295155417891,10,20,120,180,0,0
45,102,drugs_alcohol,411,neo_esophageal,298521,9023,0,continuous,gday,0.182321556793955,0.667081576029642,0,0,10.1,30,0,0
46,102,drugs_alcohol,411,neo_esophageal,309843,9023,0,continuous,gday,0.336472236621213,0.362598387992643,0,1,1,10,0,0
47,102,drugs_alcohol,411,neo_esophageal,296154,9023,0,continuous,gday,0.425267735404344,1.2217540470856,0,0,21.303,40.4757,0,0
48,102,drugs_alcohol,411,neo_esophageal,309832,9023,0,continuous,gday,0.683096844706444,0.153990315482631,10,20,30,40,0,0
49,102,drugs_alcohol,411,neo_esophageal,309844,9023,0,continuous,gday,1.42551507427317,0.220563137225075,0,39,120,180,0,1
50,102,drugs_alcohol,411,neo_esophageal,296171,9023,0,continuous,gday,2.68784749378469,0.607027075033208,0,0,31.995,47.9925,0,0
51,102,drugs_alcohol,411,neo_esophageal,309845,9023,0,continuous,gday,2.42480272571829,0.240934083887972,0,38.661,78.9,118.35,0,0
52,102,drugs_alcohol,411,neo_esophageal,296171,9023,0,continuous,gday,2.10413415427021,0.329509792026796,0,0,31.995,47.9925,0,0
53,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.215111379616945,0.24349794507509,0,13,13,39,0,0
54,102,drugs_alcohol,411,neo_esophageal,296144,9023,0,continuous,gday,-0.105360515657826,0.730153285951395,0,0,1,22.7,0,0
55,102,drugs_alcohol,411,neo_esophageal,298507,9023,0,continuous,gday,-0.105360515657826,0.334954632656522,0,0,1,20,0,1
56,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,1.16315080980568,0.385575893896402,0,14,16,28,0,0
57,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.29266961396282,0.172763195217869,0,13,0,0,0,0
58,102,drugs_alcohol,411,neo_esophageal,296187,9023,0,continuous,gday,1.59127394180643,0.357727409674328,0,0,70,105,0,0
59,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,1.22377543162212,0.224298331682093,0,0,100,150,1,0
60,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,0.0676586484738149,0.269225077774054,0,13,0,0,0,0
61,102,drugs_alcohol,411,neo_esophageal,298513,9023,0,continuous,gday,-0.371063681390832,0.254726742375288,0,0,10,29.9857142857143,0,0
62,102,drugs_alcohol,411,neo_esophageal,309842,9023,0,continuous,gday,1.76814960358892,0.450857018758672,0,7.57142857142857,59.2857142857143,88.9285714285714,0,1
63,102,drugs_alcohol,411,neo_esophageal,298515,9023,0,continuous,gday,1.53686721959926,0.356938205600969,0,0,80,120,0,0
64,102,drugs_alcohol,411,neo_esophageal,298515,9023,0,continuous,gday,1.05779029414785,0.287415877924303,0,0,40,79.9,0,0
65,102,drugs_alcohol,411,neo_esophageal,298518,9023,0,continuous,gday,2.03470564783844,0.45067806576536,0,0,75,112.5,0,0
66,102,drugs_alcohol,411,neo_esophageal,298520,9023,0,continuous,gday,2.09679018001445,0.612558476178094,0,0,40,59.8571428571429,0,0
67,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,1.01160091167848,1.02302991075654,0,13,40.3,60.45,0,0
68,102,drugs_alcohol,411,neo_esophageal,309843,9023,0,continuous,gday,0.741937344729377,0.28025823690513,0,1,10,37,0,0
69,102,drugs_alcohol,411,neo_esophageal,296141,9023,0,continuous,gday,0.72270598280149,0.522148118242492,0,0,0.789,41.817,0,0
70,102,drugs_alcohol,411,neo_esophageal,296154,9023,0,continuous,gday,2.67138621673062,0.802482523170969,0,0,42.606,63.909,0,0
71,102,drugs_alcohol,411,neo_esophageal,298510,9023,0,continuous,gday,0.157003748809665,0.268918501555428,0,0,1,4.9,0,0
72,102,drugs_alcohol,411,neo_esophageal,298519,9023,0,continuous,gday,1.50407739677627,0.323366233260162,0,13,40.3,60.45,0,0
73,102,drugs_alcohol,411,neo_esophageal,298522,9023,0,continuous,gday,1.46787434811231,0.272784673260122,0,0,190.149,285.2235,0,1
74,102,drugs_alcohol,411,neo_esophageal,298522,9023,0,continuous,gday,0.727548607277278,0.210770985895926,0,0,48.129,94.68,0,1
75,102,drugs_alcohol,411,neo_esophageal,298522,9023,0,continuous,gday,0.0295588022415444,0.20480767801438,0,0,0.789,47.34,0,1
76,102,drugs_alcohol,411,neo_esophageal,309837,9023,0,continuous,gday,0.231111720963387,0.0728025153549568,0,0,0,0,0,1
77,102,drugs_alcohol,411,neo_esophageal,309837,9023,0,continuous,gday,0.0676586484738149,0.0638122839624275,0,0,0,0,0,1
78,102,drugs_alcohol,411,neo_esophageal,309844,9023,0,continuous,gday,0.657520002916794,0.19081774007959,0,39,40,79,0,1
79,102,drugs_alcohol,411,neo_esophageal,309844,9023,0,continuous,gday,1.15373158788919,0.25235043220944,0,39,80,119,0,1
80,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,2.81540871942271,0.350591369916626,0,14,72,168,0,0
81,102,drugs_alcohol,411,neo_esophageal,298512,9023,0,continuous,gday,0.951657875711446,0.256431406525436,0,0,21.4285714285714,42.7142857142857,0,0
82,102,drugs_alcohol,411,neo_esophageal,309840,9023,0,continuous,gday,0.641853886172395,0.392970673711007,0,14,16,28,0,0
83,102,drugs_alcohol,411,neo_esophageal,298513,9023,0,continuous,gday,-0.342490308946776,0.28232385176039,0,0,10,29.9857142857143,0,0
84,102,drugs_alcohol,411,neo_esophageal,309826,9023,0,continuous,gday,1.90359895098359,0.637859907225501,0,0,79.689,119.5335,0,1
85,102,drugs_alcohol,411,neo_esophageal,309826,9023,0,continuous,gday,1.77833644889591,0.717002113281665,0,0,39.45,78.9,0,1
86,102,drugs_alcohol,411,neo_esophageal,298513,9023,0,continuous,gday,-0.3147107448397,0.429593522431533,0,0,0.142857142857143,1.42857142857143,0,0
87,102,drugs_alcohol,411,neo_esophageal,298509,9023,0,continuous,gday,1.30833281965018,0.147912881442077,0,0,50,99,1,0
